"type_school","school_accreditation","gender","interest","residence","parent_age","parent_salary","house_area","average_grades","parent_was_in_college","will_go_to_college"
"1","1","0","2","1",56,6950000,83,"B+","0","0"
"1","1","0","2","1",57,4410000,76.8,"B+","0","0"
"1","0","1","4","1",50,6500000,80.6,"B+","0","0"
"0","0","0","4","0",49,6600000,78.2,"B+","1","0"
"1","1","1","4","1",57,5250000,75.1,"B+","0","1"
"0","0","1","2","0",48,3770000,65.3,"B+","1","1"
"1","1","0","4","0",52,6680000,85.5,"B+","1","0"
"1","0","0","4","0",53,5890000,83.3,"B+","1","1"
"1","0","1","0","0",52,6730000,80.3,"B+","1","0"
"1","0","1","4","0",47,3880000,68,"B+","1","1"
"0","1","0","1","0",57,5680000,67.1,"B+","1","1"
"0","0","0","0","0",48,5950000,60.7,"B+","1","1"
"0","0","0","0","0",47,6930000,65.4,"B+","1","1"
"1","0","0","4","0",53,7130000,88.5,"B+","1","0"
"1","1","0","4","1",51,3370000,67.1,"B+","0","1"
"0","1","1","2","1",53,6940000,50.1,"B+","1","0"
"1","0","0","4","0",48,3970000,63.5,"B+","1","1"
"0","0","1","4","0",49,6790000,75.9,"B+","1","1"
"0","1","1","2","0",47,7180000,68.3,"B+","0","1"
"0","0","1","4","0",47,4090000,54.5,"B+","1","1"
"0","0","1","4","1",52,6680000,64.5,"B+","1","0"
"1","0","1","3","1",56,2600000,77.5,"B+","1","1"
"1","1","1","4","1",51,3900000,57.9,"B+","0","1"
"1","0","1","3","1",60,4250000,58.1,"B+","0","1"
"1","0","0","4","1",54,6400000,83.8,"B+","0","0"
"0","1","0","1","1",51,5760000,71.5,"B+","0","0"
"0","0","0","4","0",55,4950000,94.6,"B+","1","1"
"0","1","0","0","1",53,4720000,78.5,"B+","0","0"
"0","0","0","1","0",51,4890000,90,"B+","1","1"
"0","0","1","0","0",50,6450000,78.4,"B+","1","1"
"0","1","0","4","0",49,6470000,74.6,"B+","1","0"
"0","0","0","2","1",54,5080000,40.7,"B+","1","1"
"1","1","0","4","1",60,3230000,79.6,"B+","0","1"
"1","0","0","2","0",52,6130000,76.1,"B+","1","1"
"0","1","1","4","0",52,5700000,102.8,"B+","1","0"
"1","1","1","4","1",53,5900000,79.7,"B+","0","0"
"1","1","0","0","1",55,6610000,76.1,"B+","0","0"
"0","1","1","4","0",48,5940000,62.4,"B+","1","1"
"1","1","0","2","1",54,7310000,54.6,"B+","0","1"
"0","0","1","1","0",53,4660000,80.2,"B+","1","1"
"1","1","1","1","1",50,5630000,69.9,"B+","0","0"
"1","0","1","2","1",53,3970000,65.6,"B+","1","1"
"0","0","1","4","1",53,5550000,82.9,"B+","1","0"
"0","1","1","4","0",52,6680000,89.2,"B+","1","0"
"0","1","1","4","1",50,5570000,75.8,"B+","0","0"
"1","1","0","0","1",50,2660000,64.6,"B+","1","1"
"1","1","1","0","0",51,4720000,57.2,"B+","1","1"
"0","1","0","4","1",55,4740000,97.1,"B+","0","0"
"1","1","1","0","0",54,7260000,77.1,"B+","1","0"
"0","1","0","0","0",53,5570000,79.7,"B+","0","1"
"0","1","0","4","0",46,7460000,89.7,"B+","1","0"
"0","1","0","2","1",56,6110000,61.6,"B+","0","0"
"0","0","1","0","0",51,5930000,79.8,"B+","1","0"
"1","0","1","2","1",51,3850000,57.2,"B+","0","1"
"0","0","0","0","0",51,6540000,87.1,"B+","1","1"
"0","1","0","4","1",55,4880000,88.2,"B+","0","0"
"0","1","0","0","0",55,4590000,75,"B+","1","0"
"0","1","0","0","0",47,6390000,70.3,"B+","1","1"
"1","1","1","3","1",46,7610000,59.8,"B+","0","1"
"1","1","0","4","1",55,3760000,87.1,"B+","1","0"
"1","1","1","1","0",49,6220000,84,"B+","1","0"
"1","0","0","2","0",49,6210000,82.3,"B+","0","1"
"0","1","0","1","1",51,4800000,66.2,"B+","0","0"
"0","1","1","4","0",48,5840000,79.7,"B+","1","1"
"1","1","0","3","1",55,5610000,82.4,"B+","0","1"
"0","1","0","2","1",54,5620000,68.6,"B+","0","0"
"0","0","0","0","0",52,6300000,77.8,"B+","1","1"
"1","1","0","4","1",52,4740000,50.9,"B+","0","1"
"0","1","0","1","0",51,5720000,84.1,"B+","1","0"
"0","1","1","4","0",53,6200000,81.2,"B+","1","0"
"1","1","1","4","1",53,5570000,93.5,"B+","0","0"
"0","0","0","0","0",49,6700000,78.9,"B+","1","1"
"1","0","1","4","0",47,4100000,60.6,"B+","1","1"
"1","1","1","2","1",57,3200000,74.8,"B+","0","1"
"0","0","0","1","0",54,7570000,74.6,"B+","1","0"
"0","0","1","3","1",55,4200000,51.2,"B+","0","1"
"1","0","0","0","1",57,4500000,50.7,"B+","0","0"
"0","1","0","4","0",54,5750000,94.1,"B+","0","0"
"1","0","0","0","0",50,8390000,81.4,"B+","1","0"
"1","1","0","4","1",52,6550000,79.4,"B+","0","0"
"1","0","1","4","1",54,4730000,88.4,"B+","0","1"
"0","0","0","0","0",50,5540000,86.8,"B+","1","1"
"1","0","0","2","1",58,5030000,69.9,"B+","0","0"
"0","1","0","0","1",52,5920000,76,"B+","0","0"
"1","1","1","3","1",56,3990000,61,"B+","0","1"
"0","0","1","3","1",56,5280000,56,"B+","0","1"
"0","1","0","2","1",55,6090000,75.3,"B+","1","0"
"0","1","0","2","1",51,7040000,57.6,"B+","1","0"
"0","1","1","4","1",52,5420000,83.4,"B+","0","0"
"0","1","0","4","1",53,5510000,76.4,"B+","0","0"
"1","1","1","2","1",55,4740000,65,"B+","0","1"
"0","0","0","3","1",54,3240000,54.5,"B+","0","1"
"0","1","0","3","1",60,6650000,96.7,"B+","0","0"
"1","0","0","2","1",52,4070000,58,"B+","1","1"
"0","0","0","4","0",41,9110000,79.2,"B+","1","0"
"1","0","1","4","0",49,7480000,84.1,"B+","1","0"
"0","1","0","0","0",48,5740000,65.2,"B+","0","1"
"0","1","1","4","1",54,6020000,84.3,"B+","1","0"
"1","0","1","4","0",51,6460000,87.2,"B+","1","0"
"0","1","0","0","0",52,5610000,104.2,"B+","0","0"
"1","1","1","0","1",52,3520000,69.2,"B+","0","1"
"1","1","0","4","1",55,3100000,82.5,"B+","0","1"
"0","1","0","0","0",52,5570000,96.9,"B+","0","0"
"1","1","1","2","0",51,5050000,74.7,"B+","0","1"
"1","1","1","4","1",52,5430000,81.5,"B+","0","0"
"0","1","1","0","0",53,4760000,82.8,"B+","1","1"
"0","1","1","4","0",49,6370000,97.9,"B+","1","0"
"1","0","0","4","0",54,5840000,86.7,"B+","1","0"
"1","1","0","2","1",59,4370000,73.4,"B+","0","1"
"1","1","0","3","1",57,6090000,34,"B+","0","1"
"0","1","0","0","0",51,5200000,74.7,"B+","1","1"
"1","0","1","2","1",52,2960000,79.4,"B+","1","1"
"1","0","0","2","0",52,8160000,75.9,"B+","1","0"
"0","0","1","3","1",52,4540000,45.9,"B+","1","1"
"1","0","1","4","0",49,7790000,80.2,"B+","1","0"
"0","1","0","2","0",43,7510000,60.5,"B+","0","1"
"0","1","0","0","0",50,6030000,75.9,"B+","0","1"
"1","1","0","4","0",53,4260000,76.2,"B+","0","1"
"0","0","1","2","1",60,4720000,77.6,"B+","0","0"
"0","0","0","1","0",55,2920000,82.5,"B+","1","1"
"0","0","1","3","1",49,4150000,46.1,"B+","1","1"
"1","0","0","0","0",48,7700000,67,"B+","1","0"
"1","0","1","4","0",52,6710000,77.8,"B+","1","0"
"0","0","1","1","0",46,6650000,77.7,"B+","1","0"
"1","0","1","2","1",56,6990000,67.5,"B+","1","0"
"1","1","1","2","1",54,5230000,49.8,"B+","0","1"
"1","0","0","1","0",46,7200000,76,"B+","1","0"
"1","0","0","2","1",50,3430000,59.1,"B+","0","1"
"0","0","0","1","0",50,4850000,71.6,"B+","1","0"
"1","0","0","2","1",53,3510000,70.5,"B+","1","1"
"0","0","1","4","0",55,5650000,73,"B+","0","1"
"1","1","1","0","0",46,2780000,62,"B+","1","1"
"0","0","0","0","0",53,6380000,89.6,"B+","1","0"
"0","0","0","3","0",50,5070000,49.3,"B+","1","1"
"1","0","1","0","0",50,4410000,90.6,"B+","1","0"
"0","0","0","0","0",49,4190000,87.2,"B+","1","1"
"1","0","1","4","1",53,4930000,89.1,"B+","1","0"
"1","1","1","4","1",49,4100000,58.4,"B+","0","1"
"1","1","1","2","1",53,4510000,52.6,"B+","0","1"
"1","1","0","3","1",53,3320000,63.4,"B+","0","1"
"0","1","0","4","0",54,5890000,85.6,"B+","0","0"
"1","1","1","3","1",58,4950000,50.4,"B+","0","1"
"0","1","0","2","0",48,8120000,68.8,"B+","0","1"
"1","1","1","0","0",47,6360000,84.5,"B+","1","0"
"0","0","1","0","0",53,3980000,80.5,"B+","1","1"
"1","0","0","4","0",50,6460000,79.3,"B+","1","0"
"0","1","1","0","0",49,5710000,74.3,"B+","1","0"
"1","0","1","2","1",56,5670000,75.3,"B+","0","1"
"0","0","1","0","0",42,8080000,83,"B+","1","0"
"1","0","1","2","1",49,4840000,54.9,"B+","1","1"
"1","0","1","0","0",48,5020000,88,"B+","1","0"
"0","0","1","0","0",46,7080000,46.3,"B+","1","0"
"1","0","1","4","1",58,5390000,74.9,"B+","0","0"
"1","0","1","0","0",52,4890000,109.1,"B+","1","0"
"0","0","0","0","0",55,3610000,79,"B+","1","1"
"0","1","1","4","0",49,6750000,77.4,"B+","1","0"
"0","1","0","0","1",56,3970000,84.7,"B+","0","1"
"0","0","1","0","0",52,4150000,78.3,"B+","1","1"
"1","1","1","2","1",55,6960000,78.5,"B+","0","1"
"0","0","1","3","1",54,3680000,51.7,"B+","1","1"
"0","0","0","0","0",54,4640000,84.3,"B+","1","0"
"1","0","0","4","1",52,6750000,90.1,"B+","0","0"
"1","1","0","2","1",54,3650000,76.4,"B+","0","1"
"1","1","1","4","1",56,3700000,72.7,"B+","0","1"
"1","0","0","1","0",49,7570000,62.3,"B+","1","0"
"1","0","0","0","1",53,6160000,80.8,"B+","1","0"
"0","0","1","0","0",54,4840000,84.6,"B+","1","1"
"1","1","1","4","1",59,2910000,79.6,"B+","0","1"
"0","1","1","2","0",49,5920000,100.2,"B+","1","0"
"1","0","1","2","1",50,3360000,63.5,"B+","1","1"
"0","1","0","0","1",55,5610000,65,"B+","0","0"
"1","0","1","1","0",50,8290000,67.4,"B+","1","0"
"1","1","0","4","1",60,1830000,75.9,"B+","0","1"
"0","0","0","2","0",50,6680000,87.9,"B+","1","0"
"1","1","0","2","1",53,4180000,69.3,"B+","0","1"
"1","0","0","4","0",49,3770000,66.7,"B+","1","1"
"0","1","0","4","0",52,6140000,86.3,"B+","0","0"
"1","0","1","0","0",52,5340000,85.2,"B+","1","0"
"1","1","1","2","1",51,4720000,104.5,"B+","0","0"
"0","1","0","0","0",52,5720000,55,"B+","1","1"
"1","1","1","2","1",53,5310000,72.3,"B+","0","1"
"1","1","0","4","1",51,7430000,74.3,"B+","0","0"
"0","0","0","0","0",55,4830000,83.3,"B+","1","1"
"1","0","1","0","0",50,5690000,75.2,"B+","1","0"
"1","1","1","2","0",44,5410000,36.6,"B+","0","1"
"0","0","1","0","0",54,5490000,81.3,"B+","1","0"
"0","1","0","1","1",55,3660000,77.5,"B+","0","0"
"1","1","1","2","1",53,5110000,68.2,"B+","0","1"
"0","0","0","4","1",53,5690000,66.4,"B+","1","0"
"1","0","1","4","0",54,6160000,120,"B+","1","0"
"1","0","1","2","0",54,4550000,65.8,"B+","1","1"
"0","0","1","0","0",47,6130000,81.5,"B+","1","1"
"0","1","0","0","0",52,5620000,74.9,"B+","0","1"
"1","0","0","4","1",55,5250000,80.7,"B+","0","1"
"0","0","1","0","0",54,3700000,99.6,"B+","1","1"
"1","1","0","3","1",55,5120000,49.7,"B+","0","1"
"0","1","0","4","0",47,6200000,75.3,"B+","1","0"
"0","0","1","1","0",53,4340000,87.5,"B+","1","1"
"1","0","0","0","0",55,5530000,112.5,"B+","1","0"
"1","0","0","3","1",53,4100000,54,"B+","0","1"
"0","1","0","0","1",56,5580000,65.2,"B+","0","0"
"1","1","1","2","1",58,5370000,72.3,"B+","0","1"
"1","0","1","4","0",54,5790000,94.9,"B+","1","0"
"1","1","0","3","1",56,5280000,65.6,"B+","0","1"
"1","1","0","4","1",51,4440000,59.3,"B+","0","1"
"1","1","0","0","1",54,4940000,100.1,"B+","0","0"
"1","1","0","2","1",59,3720000,60.7,"B+","0","1"
"0","0","1","4","0",46,5920000,90.3,"B+","1","1"
"1","1","0","4","1",53,4840000,87.7,"B+","0","0"
"0","1","1","4","0",50,5470000,67.2,"B+","0","1"
"0","0","0","2","0",48,7640000,64.2,"B+","1","0"
"0","0","0","0","0",49,5810000,89.5,"B+","1","1"
"0","0","0","0","0",48,6280000,72.4,"B+","1","1"
"0","1","1","4","1",54,6010000,80.1,"B+","0","0"
"0","1","1","0","1",56,4250000,75.9,"B+","0","1"
"1","1","1","4","1",52,5320000,65.7,"B+","0","0"
"1","1","0","2","1",54,7260000,92.8,"B+","0","0"
"1","0","0","4","1",51,4970000,87.8,"B+","1","0"
"0","0","1","1","0",50,3010000,76.7,"B+","1","1"
"1","1","1","4","1",52,8020000,68.5,"B+","0","0"
"1","0","1","0","1",64,3860000,86.1,"B+","0","0"
"1","1","1","4","1",52,5980000,72,"B+","0","0"
"1","1","0","4","1",57,6540000,60.1,"B+","0","1"
"0","0","1","0","1",50,7550000,75.6,"B+","0","0"
"0","1","1","0","1",53,4330000,63.3,"B+","0","0"
"1","0","0","0","1",51,4170000,83.8,"B+","1","0"
"1","0","1","0","1",53,5730000,86.5,"B+","1","0"
"1","0","0","0","1",48,6090000,68.7,"B+","1","0"
"1","0","1","4","0",53,6140000,79.7,"B+","1","0"
"0","1","0","0","0",51,6040000,71.9,"B+","1","0"
"0","0","1","0","1",54,6580000,66.2,"B+","1","0"
"0","0","0","1","1",53,5190000,59.9,"B+","1","0"
"1","0","0","0","1",53,6150000,83.9,"B+","1","0"
"1","1","0","0","0",51,3510000,78.3,"B+","1","1"
"1","0","1","0","1",52,8080000,67.8,"B+","0","0"
"0","0","0","0","1",58,4540000,63.6,"B+","0","1"
"1","0","0","2","1",56,4560000,64.1,"B+","0","1"
"0","0","1","1","0",52,8400000,76.1,"B+","1","0"
"1","0","1","4","0",52,7960000,88.2,"B+","1","0"
"1","1","0","2","1",57,3830000,89.3,"B+","0","0"
"0","1","1","2","1",55,5110000,99.3,"B+","0","0"
"0","1","0","3","1",52,5230000,33.4,"B+","0","1"
"0","0","1","0","0",50,6290000,91.3,"B+","1","1"
"1","1","1","2","0",51,5350000,47.4,"B+","1","1"
"1","0","1","4","1",54,6570000,83.3,"B+","0","0"
"0","1","0","4","1",53,6410000,74.8,"B+","0","0"
"1","0","1","0","0",48,6750000,91,"B+","1","0"
"1","0","0","0","1",52,6200000,67.8,"B+","1","0"
"1","0","0","0","0",50,2810000,80.5,"B+","1","1"
"0","0","0","2","1",56,5550000,91.3,"B+","0","0"
"0","1","1","2","1",61,4230000,81.5,"B+","0","0"
"0","0","0","3","1",50,4160000,47.5,"B+","1","1"
"1","0","0","0","0",50,7880000,93,"B+","1","0"
"1","0","1","4","1",56,6070000,71.3,"B+","0","0"
"1","1","0","1","0",49,2600000,100.8,"B+","1","1"
"1","0","1","2","1",46,2730000,62.4,"B+","1","1"
"1","1","0","3","1",52,4920000,41.8,"B+","0","1"
"0","0","1","2","0",54,6160000,103.5,"B+","1","0"
"0","1","1","0","0",43,7090000,59.5,"B+","1","1"
"1","0","0","4","1",54,6060000,86.3,"B+","1","0"
"0","1","0","4","1",58,4410000,80.7,"B+","0","0"
"1","1","0","2","1",53,3340000,86.1,"B+","0","0"
"0","0","0","0","0",48,5280000,78.8,"B+","1","1"
"0","0","1","3","1",50,5680000,20.4,"B+","1","1"
"1","0","0","2","1",53,6140000,76.2,"B+","0","1"
"1","0","1","0","1",50,2160000,78.4,"B+","1","1"
"1","1","0","2","1",57,3040000,72.3,"B+","0","1"
"1","0","1","1","0",49,6340000,77.3,"B+","1","0"
"0","1","0","4","1",54,5510000,58.2,"B+","0","0"
"0","1","0","0","0",49,6680000,79.3,"B+","1","0"
"1","1","0","0","0",47,3040000,85.3,"B+","1","1"
"1","1","1","0","1",52,5040000,65.5,"B+","1","0"
